PRN,12/2/23,13/1/23,14/2/23,15/2/23,16/2/23
21070126001,0,0,0,0,0
21070126008,0,0,0,0,0
21070126009,0,0,0,0,0
21070126010,0,0,0,0,0
21070126011,0,0,0,0,0
21070126012,0,0,0,0,0
21070126013,0,0,0,0,0
21070126014,0,0,0,0,0
21070126015,0,0,0,0,0
21070126016,0,0,0,0,0
22070123017,1,0,0,0,1
21070126018,0,0,0,0,0
21070126019,0,0,0,0,0
21070126020,0,0,0,0,0
21070126021,0,0,0,0,0
21070126025,0,0,0,0,0
21070126026,0,0,0,0,0
21070126027,0,0,0,0,0
21070126028,0,0,0,0,0
21070126030,0,0,0,0,0
21070126032,0,0,0,0,0
21070126033,0,0,0,0,0
21070126035,0,0,0,0,0
21070126038,0,0,0,0,0
21070126039,0,0,0,0,0
21070126040,0,0,0,0,0
21070126042,0,0,0,0,0
21070126044,0,0,0,0,0
21070126046,0,0,0,0,0
21070126047,0,0,0,0,0
21070126048,0,0,0,0,0
21070126049,0,0,0,0,0
21070126051,0,0,0,0,0
21070126057,0,1,1,1,1
21070126061,0,0,0,0,0
21070126063,0,0,0,0,0
21070126064,0,0,0,0,0
21070126065,0,0,0,0,0
21070126066,0,0,0,0,0
21070126069,0,0,0,0,0
21070126070,0,0,0,0,0
21070126072,0,0,0,0,0
21070123075,1,0,1,0,1
D1401201072,1,1,1,1,1
